country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","19-03-2026 16:00:00",16.5150833,80.5181667,NO2,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","19-03-2026 16:00:00",25.42742023,86.13886079,NO2,10,19,13
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","19-03-2026 16:00:00",25.859655,85.77944,CO,3,8,4
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","19-03-2026 16:00:00",24.952822,84.002396,PM2.5,18,67,48
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","19-03-2026 16:00:00",30.735567,76.775714,NO2,8,19,14
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","19-03-2026 16:00:00",30.735567,76.775714,NH3,15,37,20
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","19-03-2026 16:00:00",30.735567,76.775714,SO2,7,20,13
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","19-03-2026 16:00:00",30.735567,76.775714,CO,65,92,76
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","19-03-2026 16:00:00",30.735567,76.775714,OZONE,5,91,16
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","19-03-2026 16:00:00",30.751462,76.762879,NH3,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","19-03-2026 16:00:00",30.719859,76.738637,PM2.5,23,72,46
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","19-03-2026 16:00:00",30.719859,76.738637,PM10,20,58,43
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","19-03-2026 16:00:00",30.719859,76.738637,OZONE,2,51,11
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","19-03-2026 16:00:00",26.1209,85.3647,SO2,4,10,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","19-03-2026 16:00:00",25.586562,85.043586,PM2.5,53,112,79
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","19-03-2026 16:00:00",25.586562,85.043586,PM10,70,368,148
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","19-03-2026 16:00:00",25.586562,85.043586,SO2,5,8,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","19-03-2026 16:00:00",25.586562,85.043586,CO,33,99,46
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","19-03-2026 16:00:00",25.586562,85.043586,OZONE,24,36,31
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","19-03-2026 16:00:00",25.592539,85.227158,NH3,4,5,5
